whoregion,regioncode,iso3,year,ncc,nfp,nap,nrl,n.hospitals.national.system,n.outpatients.national.system,n.in.outpatients.national.system,n.lab.national.system,eqa.to.nrl,eqa.local.labs,type.ast.standards,hospital.providing.glass,outpatients.providing.glass,in-out.patients,num.labo.reporting.glass,num.pat.year.h,num.pat.year.o
EUR,54,DEU,2018,Established,Nominated,Functioning with no budget,Established,623,18129,,53,Provided,Provided to all laboratories,EUCAST/CLSI,479,0,,,,
EUR,54,DEU,2019,Established,Nominated,Functioning with no budget,Established,1163,28408,,48,Provided,Provided to all laboratories,EUCAST/CLSI,602,15827,,,,
EUR,,DEU,2020,Established,Nominated,"Yes, with budget",Established,676,19525,,,Provided,Provided to all laboratories,EUCAST,676,19525,,54,,
EMR,22,DJI,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EMR,22,DJI,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EMR,22,DJI,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EMR,,DJI,2020,Not reported,Nominated,Not reported,Not reported,Not reported,Not reported,,,Not reported,Not reported,Not reported,Not reported,Not reported,,,,
AMR/PAHO,35,DMA,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,35,DMA,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,35,DMA,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,,DMA,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,,
EUR,54,DNK,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,DNK,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,DNK,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,,DNK,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,,
AMR/PAHO,35,DOM,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,35,DOM,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,35,DOM,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,,DOM,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,,
AFR,47,DZA,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,DZA,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,DZA,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,,DZA,2020,Not reported,Nominated,Not reported,Not reported,Not reported,Not reported,,,Not reported,Not reported,Not reported,Not reported,Not reported,,,,
AMR/PAHO,35,ECU,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,35,ECU,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,35,ECU,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,,ECU,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,0,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,0,,,
EMR,22,EGY,2017,Not established,Nominated,Functioning with no budget,Established,15,None,,16,Provided,Provided to all laboratories,EUCAST/CLSI,15,0,,,,
EMR,22,EGY,2018,Establishment in progress,Nominated,Functioning with budget,Established,39,None,,39,Provided,Provided to all laboratories,CLSI,9,0,,,,0
EMR,22,EGY,2019,Establishment in progress,Nominated,Functioning with budget,Established,39,None,,39,Provided,Provided to all laboratories,CLSI,9,0,,,,0
EMR,,EGY,2020,Establishment in progress,Nominated,No,Established,39,None,,,Provided,Provided to all laboratories,CLSI,39,0,,1,,
AFR,47,ERI,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,ERI,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,ERI,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,,ERI,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,,
EUR,54,ESP,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,ESP,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,ESP,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,,ESP,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,,
EUR,54,EST,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,EST,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,EST,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,,EST,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,9,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,9,,,
AFR,47,ETH,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,ETH,2018,Established,Nominated,Functioning with budget,Established,2,2,,4,Provided,Provided to all laboratories,CLSI,No data,,,,,
AFR,47,ETH,2019,Established,Nominated,Functioning with no budget,Established,7,2,,9,Provided,Provided to all laboratories,CLSI,2,2,,,100000,42000
AFR,,ETH,2020,Establishment in progress,Nominated,"Yes, with budget",Established,8,1,,,Provided,Provided to all laboratories,CLSI,8,1,,9,,
EUR,54,FIN,2017,Established,Nominated,Functioning with no budget,Established,No data,No data,,24,Provided,Provided to all laboratories,EUCAST,No data,,,24,,
EUR,54,FIN,2018,Established,Nominated,Functioning with no budget,Established,No data,No data,,23,Provided,Not provided,EUCAST,No data,,,23,,
EUR,54,FIN,2019,Established,Nominated,Not functioning,Established,No data,No data,,23,Provided,Not provided,EUCAST,No data,,,23,,
EUR,,FIN,2020,Established,Nominated,No,Established,Unknown,Unknown,,,Provided,Not reported,EUCAST,,,,22,,
WPR,27,FJI,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
WPR,27,FJI,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
WPR,27,FJI,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
WPR,,FJI,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,0,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,991,,,
EUR,54,FRA,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,FRA,2018,Established,Nominated,Functioning with budget,Established,No data,No data,,No data,Provided,Provided to all laboratories,EUCAST/CLSI,No data,,,No data,,
EUR,54,FRA,2019,Established,Nominated,Functioning with budget,Established,No data,No data,,No data,Provided,Provided to all laboratories,EUCAST/CLSI,No data,,,No data,,
EUR,,FRA,2020,Established,Nominated,"Yes, with budget",Established,991,None,,,Provided,Provided to all laboratories,EUCAST,,,,,,
WPR,27,FSM,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
WPR,27,FSM,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
WPR,27,FSM,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
WPR,,FSM,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,,
AFR,47,GAB,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,GAB,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,GAB,2019,Not reported,Nominated,No data,Not reported,No data,No data,,No data,Not reported,Not reported,Not reported,No data,No data,No data,No data,No data,No data
AFR,,GAB,2020,Established,Nominated,"Yes, with budget",Established,Unknown,Unknown,,,Not reported,Not reported,Not reported,,,,,,
EUR,54,GBR,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,GBR,2018,Established,Nominated,Functioning with budget,Established,No data,No data,,259,Provided,Provided to all laboratories,EUCAST/CLSI,No data,,,259,,
EUR,54,GBR,2019,Established,Nominated,Functioning with budget,Established,No data,No data,,159,Provided,Provided to all laboratories,EUCAST/CLSI,No data,,,159,,
EUR,,GBR,2020,Established,Nominated,"Yes, with budget",Established,Unknown,Unknown,,,Provided,Provided to all laboratories,EUCAST/CLSI,,,,149,,
EUR,54,GEO,2017,Established,Nominated,Functioning with no budget,Established,No data,No data,,20,Provided,Provided to some laboratories,EUCAST/CLSI,No data,,,20,,
EUR,54,GEO,2018,Established,Nominated,Functioning with budget,Established,150,2,,20,Provided,Provided to some laboratories,EUCAST,4,,,,,
EUR,54,GEO,2019,Established,Nominated,Functioning with budget,Established,150,2,,20,Provided,Provided to some laboratories,EUCAST,4,0,,,,
EUR,,GEO,2020,Established,Nominated,"Yes, with budget",Established,Unknown,Unknown,,,Provided,Provided to all laboratories,EUCAST/CLSI,,,,4,,
AFR,47,GHA,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,GHA,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,GHA,2019,Not reported,Nominated,No data,Not reported,No data,No data,,No data,Not reported,Not reported,Not reported,No data,No data,No data,No data,No data,No data
AFR,,GHA,2020,Not reported,Nominated,Not reported,Not reported,Not reported,Not reported,,,Not reported,Not reported,Not reported,Not reported,Not reported,,,,
AFR,47,GIN,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,GIN,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,GIN,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,,GIN,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,,
AFR,47,GMB,2017,Not reported,Nominated,No data,Not reported,No data,No data,,No data,Not reported,Not reported,Not reported,No data,No data,No data,No data,No data,No data
AFR,47,GMB,2018,Establishment in progress,In progress,Functioning with budget,Established,1,None,,1,Provided,Not provided,CLSI,None,0,,,,
AFR,47,GMB,2019,Establishment in progress,In progress,Functioning with budget,Established,1,None,,1,Provided,Not provided,CLSI,None,0,,,,
AFR,,GMB,2020,Established,Nominated,"Yes, with budget",Established,Unknown,Unknown,,,Provided,Not reported,CLSI,,,,,,
AFR,47,GNB,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,GNB,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,GNB,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,,GNB,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,,
AFR,47,GNQ,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,GNQ,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
